,ID,D_Batch,D_gas,D_Glp,D_Reg_variable,D_capex_perfo,I_GLP,I_API_GLP_M,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,Total_VPN,volumen_Mbls,Capex,opex
507,507.0,0.0,1.0,0.0,2.0,3.0,5000.0,2.5,1.0,0.95,-309.2894803804893,69.6172104374998,600.2951152809101,1367.6676995919204
508,508.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
509,509.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,0.9,0.9,-274.7920688727735,69.6172104374998,560.1646037528191,1355.8093856024414
510,510.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
511,511.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,1.0,0.95,-309.2894803804893,69.6172104374998,600.2951152809101,1367.6676995919204
512,512.0,0.0,1.0,0.0,2.0,3.0,6000.0,4.0,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
513,513.0,0.0,1.0,0.0,2.0,3.0,5000.0,2.0,0.9,1.0,-284.60196738743605,69.6172104374998,560.1646037528191,1379.5260135813996
514,514.0,0.0,1.0,0.0,2.0,3.0,8000.0,3.5,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
515,515.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.5,1.0,0.95,-309.2894803804893,69.6172104374998,600.2951152809101,1367.6676995919204
516,516.0,0.0,1.0,0.0,2.0,3.0,8000.0,3.5,0.9,1.0,-284.60196738743605,69.6172104374998,560.1646037528191,1379.5260135813996
517,517.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
518,518.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
519,519.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.5,1.0,1.0,-314.1944296378205,69.6172104374998,600.2951152809101,1379.5260135813996
520,520.0,0.0,1.0,0.0,2.0,3.0,5000.0,4.0,0.7,0.95,-220.51209362933565,69.6172104374998,479.9035806966371,1367.6676995919204
521,521.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.9,1.0,-284.60196738743605,69.6172104374998,560.1646037528191,1379.5260135813996
522,522.0,0.0,1.0,0.0,2.0,3.0,8000.0,3.5,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
523,523.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.5,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
